"","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S%","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","PPS","FIC40","ORtg","DRtg","eDiff","Poss","Pace","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","Conference","State","TER","Cluster"
"165","Kent State",34,40,71.3,25.1,56.8,0.441,7.6,22.7,0.333,13.6,18.2,0.746,9.9,24.6,34.5,12.4,7.1,3.4,12.2,18.1,0.544,0.508,152,30.7,74.6,52.9,49.6,15.7,10.4,11.4,1.3,51.9,104.8,95.9,8.9,2311.3,68,1.496,1,0.6,0.239,23,11,0.676,"MAC","OH",1.00833389335043,4
"166","Utah Valley",32,40.7,71.2,24.9,54.9,0.454,6.4,17.2,0.37,15,21,0.714,10.6,29.1,39.7,14.8,5.5,4.5,15.5,16.8,0.549,0.512,153.8,32.6,76.2,56.2,59.4,19.2,7.8,11.8,1.3,54.4,101.7,93,8.7,2241,68.8,1.594,1,0.4,0.272,20,12,0.625,"WAC","UT",0.895316490239887,3
"167","Bucknell",32,40.9,71.2,25.6,55.9,0.457,7.9,21,0.376,12.1,15.8,0.765,6.4,23.8,30.2,14.7,4.6,3.1,13.5,15.3,0.561,0.528,159.8,20.6,70.2,46.5,57.6,17.5,6.6,7.9,1.3,47.8,101.2,112.9,-11.7,2250.3,68.8,1.576,1.1,0.3,0.217,9,23,0.281,"Patriot","PA",-1.38287642509372,2
"168","Grand Canyon",31,40.1,71.1,25.3,58.8,0.43,8.2,23.2,0.351,12.4,18.2,0.679,12.5,27.2,39.7,12.8,6.6,2.2,13,17.7,0.527,0.5,146.1,35.8,73.1,55,50.5,16.2,9.8,5.9,1.2,52.7,104.6,90.1,14.5,2107.3,67.8,1.505,1,0.5,0.21,23,8,0.742,"WAC","AZ",1.24626526832,4
"169","Louisiana",31,40.3,71.1,24.7,57.8,0.427,7.4,21.2,0.347,14.3,20.3,0.703,11.1,26.3,37.4,12.4,6.8,4.4,15.4,17.9,0.527,0.491,147.7,32.4,73.1,53.2,50.1,18.5,9.5,11.1,1.2,49.8,99.1,96.8,2.3,2222.6,71.2,1.501,0.8,0.4,0.247,16,15,0.516,"Sun Belt","LA",-0.00287445027023177,3
"170","Colorado",33,40.3,71.1,24.8,56,0.442,6.9,18.8,0.366,14.7,19.4,0.756,9.5,26.8,36.3,13.4,5.5,3.2,13.5,15.6,0.545,0.504,156.5,29.6,77,54.2,54,17.2,7.9,8.7,1.3,51.7,102.3,97,5.3,2292.8,69,1.54,1,0.4,0.262,21,12,0.636,"Pac-12","CO",0.300488052815966,3
"171","Richmond",37,40.2,71,25.2,57.1,0.442,7.8,23.8,0.329,12.7,17.7,0.718,6.9,24.2,31.1,14.5,7.6,2.4,9.8,13.9,0.542,0.511,148.9,21.1,71.3,46.7,57.4,13,11.2,6.3,1.2,54,104.5,100.7,3.8,2515.3,67.6,1.574,1.5,0.8,0.223,24,13,0.649,"A-10","VA",0.46704001529466,2
"172","Florida State",31,40.3,71,25.8,59.4,0.434,6.7,20.3,0.331,12.7,18,0.708,10.5,22.9,33.4,14.4,8.5,4.9,12.5,16.3,0.522,0.49,147.3,30.4,69.8,49.6,55.7,15.5,12.2,14.8,1.2,54,101.6,102.9,-1.3,2166.8,69.4,1.557,1.1,0.7,0.214,17,14,0.548,"ACC","FL",0.235056924699336,2
"173","South Carolina",31,40.1,71,26.2,61.7,0.424,6.8,21.5,0.316,11.8,17.6,0.671,12.2,24.4,36.5,14,7.8,5.1,15.2,19.4,0.506,0.479,141.1,33.5,68.9,50.9,53.5,17.8,10.7,13.7,1.2,50.4,97.1,96.1,1,2265.7,73,1.535,0.9,0.5,0.192,18,13,0.581,"SEC","SC",-0.591754603319915,3
"174","Brown",29,40,71,25.5,58.6,0.435,7.2,23,0.313,12.8,18,0.709,10.2,24.8,35,12.2,6.7,3.9,13.1,18,0.529,0.497,145.7,29.1,73.6,50.9,47.9,16.4,9.5,11.1,1.2,49.7,101.3,99.1,2.1,2032.3,70.1,1.479,0.9,0.5,0.218,13,16,0.448,"Ivy","RI",0.0506601090979187,3
"175","Maryland",32,40.3,70.9,24.7,57,0.433,6.9,21.2,0.326,14.7,19.3,0.759,8.9,25,33.9,11.6,6.4,3.2,11.4,15.2,0.536,0.494,151.8,26.6,73,50.1,47.1,14.7,9.3,8.7,1.2,50.3,103.5,103.2,0.3,2192.4,67.9,1.471,1,0.6,0.257,15,17,0.469,"Big Ten","MD",0.324281190312924,2
"176","Manhattan",30,40.5,70.9,24.3,55.3,0.44,5.6,18.3,0.307,16.6,22.5,0.735,9.8,22.9,32.6,11.5,7.2,3.3,14.5,18,0.537,0.491,148.3,30,70.5,50.2,47.4,18,10.1,8.8,1.3,45.9,100,102.5,-2.5,2125.7,70,1.474,0.8,0.5,0.3,15,15,0.5,"MAAC","NY",-0.276495531485232,1
"177","Arkansas State",29,40.1,70.9,25.7,57,0.451,5.4,17.4,0.311,14.1,18.9,0.745,10,25.8,35.8,15.6,7.9,3.3,13.9,16.6,0.537,0.498,150.6,29.8,73.1,52,60.7,17.4,11.2,8.5,1.2,54.8,101,97,4,2034.7,69.9,1.607,1.1,0.6,0.247,18,11,0.621,"Sun Belt","AR",0.687126537141515,3
"178","Virginia Tech",36,40,70.8,25.9,55,0.471,8.9,22.6,0.392,10.1,13.5,0.751,7.9,23.2,31.1,14.3,5.3,3.2,10.9,14.9,0.576,0.551,161.3,27,75.2,51.7,55.2,15,8.3,9.3,1.3,54.2,109.9,97.5,12.4,2319.3,64.4,1.552,1.3,0.5,0.184,23,13,0.639,"ACC","VA",0.69307482151575,4
"179","Indiana",35,40.4,70.8,25.8,56.8,0.454,5.9,17.7,0.333,13.3,19,0.7,8.3,26.1,34.4,14.6,5.6,4.8,11.9,17.4,0.538,0.506,148.7,25.8,75.3,51.4,56.6,15.3,8.1,14.1,1.2,53,102.2,95.5,6.7,2424.7,68.6,1.566,1.2,0.5,0.234,21,14,0.6,"Big Ten","IN",0.223160355950857,3
"180","Vanderbilt",36,40.2,70.8,23.6,55.6,0.424,8.6,25.4,0.34,15,21.5,0.697,9,23.9,32.9,11.7,7.3,3.3,13.1,18.1,0.538,0.502,146.1,26.8,72.9,49.5,49.6,16.6,10.3,9.8,1.3,47.9,101.2,96.9,4.2,2518.9,69.7,1.496,0.9,0.6,0.27,19,17,0.528,"SEC","TN",0.211263787202375,3
"181","Valparaiso",32,41.2,70.8,26.1,56.9,0.459,7.2,21.6,0.332,11.3,14.9,0.759,6.3,24.9,31.2,12.5,6.4,3,11,13.5,0.553,0.523,155.1,20.1,77.4,49,47.8,14.7,9.3,8,1.2,50,103,102.7,0.3,2198.6,66.7,1.478,1.1,0.6,0.199,14,18,0.438,"MVC","IN",-0.0564090096383865,2
"182","Florida International",32,40.8,70.8,25.4,59.1,0.43,9.6,27.5,0.35,10.3,14.7,0.702,9.2,24.8,34,13.8,6.4,4,14,15.4,0.535,0.511,148.2,26.5,70.7,48.8,54.5,17.5,9.1,11.1,1.2,50.3,100,100.5,-0.4,2263.5,69.4,1.545,1,0.5,0.174,15,17,0.469,"C-USA","FL",-0.70477200643046,2
"183","George Mason",30,40.8,70.7,25,56.2,0.446,9.3,26.1,0.358,11.3,16.3,0.694,7.8,25.7,33.5,14.1,5.1,3.2,12.2,16,0.553,0.529,149.7,24.2,76.8,51,56.5,16.1,7.4,9.7,1.3,50.7,103.3,100.1,3.2,2054.6,67.1,1.565,1.2,0.4,0.202,14,16,0.467,"A-10","VA",0.00307383410400539,2
"184","Detroit-Mercy",30,40,70.7,25.1,57.2,0.438,10.4,27.9,0.374,10.2,13.1,0.776,8.9,21.7,30.6,12.1,5.9,1.9,11.6,15.4,0.558,0.53,158.9,27.6,71.1,48.8,48.1,15.5,8.8,6,1.2,48.7,106.8,106.5,0.4,1986.5,66.3,1.481,1,0.5,0.178,14,16,0.467,"Horizon","MI",-0.145633275251973,2
