"","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S%","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","PPS","FIC40","ORtg","DRtg","eDiff","Poss","Pace","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","Conference","State","TER","Cluster"
"256","Boise State",35,40.3,68.3,24.3,54.6,0.445,7.3,21.2,0.346,12.4,19.1,0.65,9.7,24,33.7,11.4,6,3.4,12.1,15,0.536,0.512,144.1,30.7,78.3,54.1,47,15.9,9.1,9.6,1.3,48.7,103.4,92.2,11.2,2309.9,65.4,1.47,0.9,0.5,0.227,27,8,0.771,"MWC","ID",0.395660602803791,3
"257","Pepperdine",32,40.3,68.2,25.3,60.5,0.418,7.3,21.3,0.34,10.3,14.4,0.718,9.3,24,33.3,14.8,5.7,2.3,14.7,17.9,0.506,0.478,147.6,25.8,69.7,47.3,58.4,17.9,7.8,6.1,1.1,43.5,93.7,106.5,-12.8,2328.9,72.3,1.584,1,0.4,0.171,7,25,0.219,"WCC","CA",-2.23942937498417,1
"258","Ole Miss",32,40.4,68.1,24.8,57,0.435,6.9,21.3,0.326,11.6,16.3,0.711,8.7,23.5,32.3,13.2,7.1,2.8,12.2,15.2,0.526,0.496,147.3,25.9,74.7,49.5,53.2,15.9,10.3,7.8,1.2,48.4,99.5,100.3,-0.8,2189.9,67.8,1.532,1.1,0.6,0.204,13,19,0.406,"SEC","MS",-0.306236953356432,3
"259","Fairfield",33,40.4,67.8,24.8,57.2,0.434,7.6,22.4,0.34,10.5,15,0.704,8.9,24.5,33.4,11.9,5.4,3.1,11.1,15.9,0.527,0.501,147.9,27.1,73.6,50.5,48,14.7,8.1,7.8,1.2,47.5,101.4,98.6,2.8,2207.9,66.2,1.48,1.1,0.5,0.184,15,18,0.455,"MAAC","CT",-0.12184013775502,3
"260","UC Davis",24,40.2,67.8,25,56.9,0.44,6.1,18.3,0.333,11.7,16.5,0.705,8.4,24.6,33,11.3,6,2.9,12.5,18.5,0.524,0.493,147.9,25.3,71.5,48.8,45.3,16.1,8.8,7.8,1.2,44,98.8,96.7,2.1,1648.1,68.3,1.453,0.9,0.5,0.205,13,11,0.542,"Big West","CA",-0.490633768957846,3
"261","Presbyterian",32,41.4,67.8,24.8,58.8,0.422,5.7,21.2,0.27,12.5,18.5,0.674,11.6,22.3,34,12.6,7.9,2.7,13.4,19.1,0.502,0.471,136.6,33.5,76,53,50.8,16.6,11.4,8.4,1.2,43.9,97.8,98,-0.2,2218.7,67,1.508,0.9,0.6,0.212,12,20,0.375,"Big South","SC",-0.431150925215453,3
"262","Lafayette",30,40.8,67.8,25.2,58.3,0.433,8.8,26.7,0.328,8.6,12.5,0.684,7.8,23.2,31,16.2,6.3,3.4,11.1,14.4,0.527,0.508,144.4,22.8,69.8,46.1,64.1,14.7,9.3,9,1.2,51,100.3,107.8,-7.4,2027.8,66.2,1.641,1.5,0.6,0.147,10,20,0.333,"Patriot","PA",-0.669082300185021,2
"263","Rider",33,40.4,67.8,25,60.5,0.414,5.6,17.3,0.322,12.2,16.5,0.736,10.1,25.5,35.6,12.7,6.8,2.5,11.9,17.1,0.496,0.46,147.1,28.2,72.9,50.3,50.8,14.9,9.9,7.7,1.1,46.4,97.1,99.3,-2.1,2303.1,69,1.508,1.1,0.6,0.201,14,19,0.424,"MAAC","NJ",-0.562013181448719,3
"264","North Carolina A&T",32,40.3,67.7,25.2,59.3,0.424,6.3,20.2,0.312,11,16.9,0.654,10.7,23.8,34.6,12.3,7.8,3.2,12.8,19.1,0.503,0.478,139,29.5,70.1,49.1,48.6,15.9,11.2,9.8,1.1,46.1,97.4,101.2,-3.7,2224.1,69,1.486,1,0.6,0.186,12,20,0.375,"Big South","NC",-0.193219550245885,1
"265","Binghamton",29,40.2,67.7,25.7,58.3,0.441,7.3,20.8,0.354,8.9,13.4,0.661,9,25.7,34.7,11.5,5.7,3.7,12.6,16.7,0.523,0.504,145.5,26.5,73,50.1,44.8,16.3,8.4,10,1.2,46.8,99.5,100.6,-1.1,1972.1,67.7,1.448,0.9,0.4,0.152,12,17,0.414,"AM East","NY",-0.36571979709882,3
"266","Saint Joseph's",30,40.3,67.6,24.9,59.1,0.421,8.9,26.6,0.336,8.9,13.6,0.654,9.1,27.1,36.2,13.5,4.9,2.5,13.5,16.1,0.515,0.497,141.1,26.2,76.4,51.6,54.4,17.1,7.1,5.9,1.1,46.6,97.1,99.2,-2.1,2088.1,69.1,1.544,1,0.4,0.15,11,19,0.367,"A-10","PA",-1.03787593138785,3
"267","Northern Arizona",32,40.3,67.5,24.1,57.7,0.417,8.7,24.2,0.358,10.8,16.2,0.664,10.1,25.9,36,12.6,4.5,2.5,13.5,18.3,0.517,0.492,144,28.6,77.5,52.4,52.3,17.1,6.6,6.9,1.2,44.3,98.4,106.8,-8.5,2196.8,68.2,1.523,0.9,0.3,0.186,9,23,0.281,"Big Sky","AZ",-0.805892840792527,1
"268","SIU-Edwardsville",32,40.4,67.5,24.1,57.8,0.418,5.9,20.2,0.291,13.4,19.4,0.69,11.1,24.9,36,12.3,7.1,3.8,15.1,18.3,0.504,0.469,139.8,31.5,70.4,51,51,18.4,10,11,1.2,45.3,95.1,98.5,-3.4,2272.9,70.3,1.51,0.8,0.5,0.232,11,21,0.344,"OVC","IL",-0.66908230018502,3
"269","La Salle",30,40.5,67.5,24.8,59.9,0.414,7.6,23.9,0.319,10.3,15,0.687,10.3,25.1,35.5,13.4,5.9,4.3,12.8,17.2,0.504,0.477,142,28.5,73.3,50.3,54,16,8.4,11.5,1.1,47.7,96.9,102.7,-5.8,2090.3,68.9,1.54,1,0.5,0.173,11,19,0.367,"A-10","PA",-0.776151418921326,1
"270","Niagara",30,40.5,67.4,24.6,55.9,0.439,7,20.2,0.345,11.3,15.5,0.731,7.4,24.5,31.8,12.2,5.6,2.7,10.9,15.2,0.533,0.501,151.5,22.8,73.5,48.5,49.8,14.7,8.5,7.5,1.2,46.8,101,98.2,2.8,2001.1,65.9,1.498,1.1,0.5,0.202,14,16,0.467,"MAAC","NY",-0.246754109614038,3
"271","Tulsa",31,39.9,67.4,24,55.4,0.434,6.8,20,0.342,12.5,17.2,0.726,8.5,23.5,31.9,11.8,6.8,2.2,12.8,16,0.53,0.496,150.2,26,70.7,48.6,49,16.8,10.1,7.2,1.2,45.5,99.4,103.1,-3.7,2102,67.9,1.49,0.9,0.5,0.225,11,20,0.355,"AAC","OK",-0.347874943976104,1
"272","Columbia",26,40.1,67.4,25,58.8,0.425,7.6,21.4,0.356,9.7,15.5,0.627,9.7,24.8,34.5,12,5.9,2,15.2,16.7,0.509,0.49,140.8,26.7,73,49.1,48.1,18.7,8.2,5.7,1.1,42.1,93.9,109.8,-15.9,1866.2,71.6,1.481,0.8,0.4,0.165,4,22,0.154,"Ivy","NY",-1.76951490941927,1
"273","Louisville",32,39,67.3,24.8,58.8,0.422,7.7,24.8,0.309,9.9,14.8,0.674,9.4,26.2,35.6,11.9,6.1,2.4,12.2,17.2,0.511,0.488,140.6,26.8,75.7,51,48.1,15.7,9,6.8,1.1,47.6,98.3,102.3,-4.1,2192.2,70.3,1.481,1,0.5,0.169,13,19,0.406,"ACC","KY",-0.282443815859473,1
"274","Texas-San Antonio",32,40.2,67.3,24.8,62.8,0.396,6.3,21.3,0.294,11.3,16.6,0.682,12.1,25.1,37.2,11.4,5.7,2.5,12.7,16.4,0.476,0.445,137.2,30.6,74.9,50.9,46,15.2,8.1,7.2,1.1,43.5,95,102.1,-7.1,2265.5,70.5,1.46,0.9,0.5,0.181,10,22,0.313,"C-USA","TX",-1.58511809381785,1
"275","St. Francis (NY)",30,40.3,67.2,24.9,60.8,0.409,7,22.3,0.314,10.5,14.8,0.711,10.7,23.4,34.1,11.9,6.7,2.6,12.4,16.6,0.496,0.467,143.5,29.5,71.2,49.3,47.9,15.4,9.6,6.6,1.1,44.5,97.1,101.8,-4.8,2078.1,68.7,1.479,1,0.5,0.173,10,20,0.333,"NEC","NY",-1.09735877513024,1
"276","Fairleigh Dickinson",26,40.4,67.2,24.3,59.8,0.406,6.8,21.2,0.324,11.8,16.6,0.708,9.8,22.3,32.2,11.8,6.5,3,13.8,18.2,0.497,0.464,143.8,27.2,66.1,46,48.6,16.9,9.1,7.6,1.1,40.7,94,110.7,-16.7,1859.4,70.9,1.486,0.9,0.5,0.197,4,22,0.154,"NEC","NJ",-1.98960143126612,1
"277","Mississippi Valley State",28,40.9,67.2,23.8,61.5,0.386,7.1,23.3,0.305,12.6,19.3,0.655,9.4,21.5,30.9,11.6,7.4,2.5,13.5,18.1,0.476,0.444,134.6,23.2,65.9,42.3,48.7,16,9.9,6,1.1,37.5,90.2,111.3,-21.1,2087.4,72.9,1.487,0.9,0.5,0.205,2,26,0.071,"SWAC","MS",-2.85805094990504,1
"278","Texas-Arlington",29,41.3,67.2,24.5,58.5,0.419,6.3,20.2,0.313,11.8,16.8,0.701,10.7,24.5,35.2,14,7.8,4.2,14,17.9,0.505,0.473,143.3,30.4,68.1,49.4,57,17.4,11.4,12.2,1.1,47.6,96.9,99.1,-2.2,2010.4,67.1,1.57,1,0.6,0.202,11,18,0.379,"Sun Belt","TX",-0.258650678362517,3
"279","Rhode Island",31,40,67.1,24.8,54.4,0.456,5.4,15.9,0.337,12.2,19.6,0.62,9,26,35,13.5,7.4,6,14.3,17.2,0.527,0.505,141.3,27.8,73.7,51.6,54.2,18.3,10.7,18.2,1.2,51.5,97.4,94.3,3.1,2135.7,68.9,1.542,0.9,0.5,0.223,15,16,0.484,"A-10","RI",0.419453740300748,3
"280","Jacksonville",31,40.1,67.1,24.8,55,0.45,6,17.4,0.347,11.5,16.3,0.708,10.6,25.2,35.7,12.5,6.5,1.9,11.4,15.1,0.535,0.505,150.5,33.7,78.1,56.2,50.4,15.3,10.3,6.8,1.2,51.1,105.4,93.1,12.3,1974.5,63.5,1.504,1.1,0.6,0.21,21,10,0.677,"A-Sun","FL",1.3235929651851,3
"281","Elon",32,40,67.1,23.9,56.3,0.426,8.5,24.9,0.342,10.7,14.5,0.737,8.3,23.8,32.1,12.5,4.8,2.4,13,20.3,0.531,0.501,150.5,25,72.1,48.5,52.3,17.1,7.2,7.2,1.2,42.2,99,106.6,-7.6,2168.6,67.8,1.523,1,0.4,0.19,10,22,0.313,"CAA","NC",-0.918910243903066,2
"282","Appalachian State",34,40.1,67.1,24.2,57.8,0.418,8.3,24.9,0.335,10.4,15.8,0.659,9,24.7,33.7,12.6,5.6,2.5,10.3,12.9,0.513,0.49,141.2,26.1,75.6,50.2,51.9,13.6,8.5,7.1,1.2,49.2,101.1,95.1,6,2257.2,66.3,1.519,1.2,0.5,0.18,19,15,0.559,"Sun Belt","NC",-0.330030090853387,3
"283","VCU",32,40.1,67.1,24.8,53.8,0.461,5.7,16.3,0.347,11.7,16.7,0.704,8,23.3,31.3,13.9,9.2,5.1,15.1,18.7,0.543,0.514,151.2,26.2,69,48.6,56.1,19.6,13.1,14.7,1.2,49.5,96.5,89.8,6.7,2223.3,69.3,1.561,0.9,0.6,0.218,22,10,0.688,"A-10","VA",0.371867465306838,3
"284","Incarnate Word",32,40,67,23,55.4,0.416,8.6,24.8,0.348,12.3,15.8,0.784,7.6,21.1,28.7,11.5,5.2,1.8,13.6,17.4,0.533,0.494,154.7,23.1,69.1,45.2,49.8,17.7,7.5,4.8,1.2,39.2,97.4,111,-13.6,2201.9,68.8,1.498,0.8,0.4,0.223,7,25,0.219,"Southland","TX",-1.94201515627221,1
"285","Minnesota",30,40.3,67,24.8,56.6,0.438,7.8,21.2,0.368,9.6,13.4,0.718,5.6,24.2,29.8,12.6,5.3,2.8,9.2,14.1,0.532,0.507,152.4,16.8,73.6,45,50.9,12.7,8,7.3,1.2,47.4,100.7,104,-3.3,1995.4,66.1,1.509,1.4,0.6,0.17,13,17,0.433,"Big Ten","MN",-0.591754603319915,2
"286","Saint Peter's",34,40.3,67,23.4,54.9,0.427,5.8,16.6,0.35,14.3,20.4,0.701,9.8,24.8,34.5,12.3,7.1,5,13.4,19.7,0.519,0.48,147.8,29.7,72.7,51.6,52.4,17.2,10.4,14.8,1.2,47.3,98.4,91.8,6.6,2315.1,67.6,1.524,0.9,0.5,0.26,22,12,0.647,"MAAC","NJ",0.431350309049228,3
"287","Boston College",33,40.5,66.9,24.6,57.5,0.428,5.8,18.6,0.309,12,17,0.704,10.1,23.2,33.3,12.4,7.2,2.9,11.9,15.6,0.511,0.478,144.2,29.6,74.8,51,50.4,15.4,10.8,8.6,1.2,47.2,100,101.8,-1.8,2208.2,66.1,1.504,1,0.6,0.208,13,20,0.394,"ACC","MA",-0.181322981497408,3
"288","Coppin State",32,40,66.9,22.3,57.8,0.386,8.6,28.9,0.297,13.7,20,0.684,7.4,25.6,33,11,8.1,3,14.4,16.8,0.497,0.46,136.7,19.6,68.3,43.8,49.4,17.6,10.8,8.1,1.2,42,89.9,100.3,-10.4,2383.2,74.5,1.494,0.8,0.6,0.237,9,23,0.281,"MEAC","MD",-1.5315835344497,1
"289","Temple",29,40.3,66.8,22.4,56.7,0.395,6.7,21.7,0.311,15.3,22.5,0.679,11.7,25.8,37.6,11.8,6.8,4.6,12.6,18.4,0.495,0.454,138.5,32.4,71.1,51.8,52.7,15.7,9.9,12.5,1.2,48,97.9,97.4,0.5,1977.7,67.7,1.527,0.9,0.5,0.269,17,12,0.586,"AAC","PA",0.496781437165854,3
"290","Little Rock",28,40.7,66.7,23.3,55.1,0.422,7,20.9,0.337,13.2,17.9,0.735,8.3,22.2,30.5,13,6.9,2.1,13.8,16.8,0.524,0.485,149.3,25.1,71.6,47.6,55.9,17.8,9.9,6.3,1.2,42.7,95.8,105,-9.2,1949.1,68.5,1.559,0.9,0.5,0.239,9,19,0.321,"Sun Belt","AR",-1.10925534387872,1
"291","UC Riverside",28,40.5,66.6,24.4,55.1,0.442,7.2,22.4,0.32,10.6,14.8,0.72,7.4,27.3,34.7,13.3,5.3,1.3,12.4,16,0.536,0.507,148.2,23.4,78.8,52.3,54.6,16.6,7.7,3.3,1.2,46.5,98.7,94.4,4.3,1889.1,66.6,1.546,1.1,0.4,0.193,16,12,0.571,"Big West","CA",-0.0326158721414311,3
"292","Alcorn State",34,40.3,66.5,24,58.4,0.412,5.4,17.1,0.316,13.1,18.9,0.692,11.4,23.8,35.1,10.4,7.4,2.7,14.1,17.8,0.494,0.458,141.9,31.9,72.6,51.4,43.1,17.4,10.7,7.6,1.1,42,95.2,101.7,-6.5,2375.5,69.4,1.431,0.7,0.5,0.224,17,17,0.5,"SWAC","MS",-0.788047987669804,1
"293","Old Dominion",32,40.1,66.5,24.6,56.6,0.434,4.4,15,0.294,12.9,19.3,0.672,10.9,25.4,36.3,12.3,6.4,3.3,11.9,15.9,0.506,0.473,140,31.8,73.4,52.7,50.3,15.3,9.7,10.6,1.2,48.9,100,100.8,-0.8,2127.9,66.4,1.503,1,0.5,0.229,13,19,0.406,"C-USA","VA",0.359970896558357,3
"294","Georgia Southern",29,40.3,66.4,24.6,55.1,0.447,5.9,19.3,0.304,11.3,16.7,0.68,9.3,24.4,33.7,12,7.4,3.4,14.4,17.6,0.527,0.5,143,29,70.8,50.6,48.6,18.6,10.9,10.1,1.2,45.8,97.5,96.3,1.2,1975.9,67.6,1.486,0.8,0.5,0.206,13,16,0.448,"Sun Belt","GA",-0.0504607252641472,3
"295","Stanford",32,40.2,66.4,24.1,55.6,0.433,7.3,21.5,0.339,11,16.7,0.659,11,25,36,13.1,5.6,2.6,15,17.4,0.522,0.498,143,33.3,78.1,55.4,54.4,19.1,8.2,7.6,1.2,45.5,98.2,101.6,-3.4,2163.4,67.3,1.544,0.9,0.4,0.197,16,16,0.5,"Pac-12","CA",-0.39546121897002,1
"296","Arkansas-Pine Bluff",31,40.2,66.3,22.8,55.9,0.409,6.8,22.7,0.301,13.8,19.3,0.715,8.3,19.8,28.1,11.5,7.2,2.6,13.4,17.4,0.51,0.47,142.5,23.9,65,43.1,50.1,17,10.2,6.4,1.2,39.3,94.5,111.6,-17.1,2173.8,69.8,1.501,0.9,0.5,0.247,7,24,0.226,"SWAC","AR",-1.88848059690405,1
"297","Siena",29,40.5,66.3,23.8,55.9,0.426,6.8,19,0.356,11.9,16.2,0.733,8.1,24.5,32.6,10,6.2,4,12.6,16,0.521,0.487,151.5,24.5,72.8,48.8,42.1,16.5,9,9.8,1.2,43.9,96.8,101,-4.2,1986,67.7,1.421,0.8,0.5,0.212,15,14,0.517,"MAAC","NY",-0.544168328325999,1
"298","UC Irvine",25,40,66.2,24.4,55.1,0.442,5,15.5,0.325,12.5,16.3,0.765,9.8,25.4,35.2,10.9,6,3.6,13.5,18,0.527,0.488,153.2,31,73.8,53.4,44.8,17.7,9,9.4,1.2,45.6,99.6,90.7,9,1661.9,66.5,1.448,0.8,0.4,0.227,15,10,0.6,"Big West","CA",0.235056924699335,3
"299","Fresno State",36,40.6,66.2,23.8,53.2,0.446,6.9,20.6,0.337,11.8,16.6,0.711,8.3,24.6,32.9,12,6.1,2.8,11.2,15.4,0.542,0.511,149.5,27.1,77.8,52.8,50.4,15.5,9.6,9.4,1.2,48.1,103.6,92.9,10.6,2302.2,63,1.504,1.1,0.5,0.221,23,13,0.639,"MWC","CA",0.806092224626296,3
"300","Campbell",29,40.3,66.2,24.9,54,0.46,6.3,19.9,0.318,10.1,14.9,0.68,6.8,24.3,31.2,13.9,6.2,2.3,10.4,13.8,0.542,0.519,145.8,22.4,75.8,49.8,56,14.6,9.6,7,1.2,49.8,102.4,96,6.5,1873.4,64.1,1.56,1.3,0.6,0.187,16,13,0.552,"Big South","NC",0.312384621564445,3
"301","Mount St. Mary's",30,40.3,66.1,25,56.4,0.443,5.9,17.2,0.345,10.2,14.8,0.688,10,23.7,33.6,13.3,5.7,4,12.9,15.7,0.521,0.496,147.6,30.4,72.4,51.3,53.1,16.9,8.6,10.8,1.2,47.8,99.6,98.3,1.3,1992.7,65.9,1.531,1,0.4,0.181,14,16,0.467,"NEC","MD",-0.407357787718497,3
"302","Loyola (MD)",30,40.3,66.1,24.9,56.3,0.442,6.9,21.6,0.319,9.4,13.8,0.684,7.7,23.5,31.2,14.9,7.9,2.7,12.1,15.3,0.526,0.504,144.5,24.2,74.9,49.3,60,16.2,11.7,8,1.2,49.3,98.3,97.6,0.7,2017.6,66.7,1.6,1.2,0.6,0.168,14,16,0.467,"Patriot","MD",-0.15158155962621,3
"303","Fordham",32,40.6,66.1,23,58.4,0.394,7.4,25,0.297,12.6,17.4,0.727,9.8,25.8,35.7,11.8,7.3,3.7,13.1,17.7,0.496,0.457,141.7,26.7,74.2,49.8,51.4,16.4,10.4,9.9,1.1,45.2,94.3,95.2,-1,2243.6,69.1,1.514,0.9,0.6,0.216,16,16,0.5,"A-10","NY",-0.401409503344257,3
"304","Central Michigan",30,40.2,65.9,23.1,56.5,0.409,7.7,22.7,0.341,11.9,17.2,0.692,8.4,23,31.4,11.5,6.3,3,13.6,19.9,0.509,0.478,144.3,24.1,68.6,45.9,49.7,17.3,9,9,1.2,39.9,94.6,110.4,-15.8,2090.9,69.4,1.497,0.8,0.5,0.211,7,23,0.233,"MAC","MI",-1.34718671884829,1
"305","Pacific",30,40.1,65.9,23.7,57,0.415,6.1,19.1,0.318,12.5,18.2,0.686,7.8,24.2,32,11.4,6.4,2.6,12.3,16.5,0.502,0.468,142,22.5,78.5,48.9,48.3,15.8,9.1,7.9,1.2,41.9,93.9,103.6,-9.8,2105.4,69.9,1.483,0.9,0.5,0.219,8,22,0.267,"WCC","CA",-1.29960044385438,1
"306","Maryland-Eastern Shore",27,40.3,65.9,23.4,57.9,0.404,7.7,24.6,0.314,11.4,17.7,0.644,10.2,23.2,33.4,12.4,10.1,2.3,15.4,16.8,0.497,0.471,136.2,28.8,71.6,49.3,53.2,18.9,14.2,6.8,1.1,44.1,92.5,93.2,-0.7,1922.9,70.7,1.532,0.8,0.7,0.197,11,16,0.407,"MEAC","MD",-0.728565143927413,3
"307","San Diego",31,40.5,65.8,24.8,58,0.428,5.5,16.4,0.335,10.7,14.9,0.715,9.3,25.7,35,9.9,5.1,3.7,12.4,15.9,0.506,0.476,147.8,26.7,74.8,50.6,40,16,7.4,8.6,1.1,43.1,96.4,98.5,-2.1,2117.9,67.5,1.4,0.8,0.4,0.184,15,16,0.484,"WCC","CA",-0.859427400160678,3
"308","Iowa State",35,40.3,65.6,24.3,56.3,0.431,6.7,21.2,0.315,10.4,15.2,0.683,9.1,22,31.1,14.7,8.5,3.1,13.9,18.3,0.517,0.491,142.9,27.8,71.9,49.2,60.4,17.9,12.6,9.8,1.2,46.3,96.3,91.8,4.5,2384.6,67.7,1.604,1.1,0.6,0.185,22,13,0.629,"Big 12","IA",-0.490633768957845,3
"309","Missouri",33,40.1,65.5,23.9,56.2,0.426,5.2,18.5,0.281,12.4,16.8,0.736,10.5,23.5,34,12.1,6.5,4.1,14.4,17.8,0.51,0.472,144.3,31.8,71.6,51.6,50.5,18.3,9.5,11.2,1.2,44.4,95.9,103.3,-7.3,2251.6,68,1.505,0.8,0.5,0.221,12,21,0.364,"SEC","MO",-0.669082300185024,1
"310","Sacramento State",29,40.2,65.4,24,55.7,0.431,6.8,18.8,0.359,10.7,15.8,0.678,7.3,23,30.3,11,6,2.8,11.2,17.2,0.518,0.492,146.8,21.7,73.1,46.6,45.8,15,8.9,8.1,1.2,42.2,97.4,104.4,-7,1948.8,66.9,1.458,1,0.5,0.192,11,18,0.379,"Big Sky","CA",-0.799944556418285,1
"311","San Diego State",32,40.4,65.4,23.8,55,0.432,6,16.9,0.354,11.8,17.1,0.692,9.5,24.7,34.3,11.9,7.5,4.8,12.8,17.5,0.518,0.487,147.8,29.4,74.1,52.1,50.2,16.8,11.2,14.4,1.2,47.9,98.2,87.2,10.9,2132.1,65.9,1.502,0.9,0.6,0.215,23,9,0.719,"MWC","CA",0.586005702779446,3
"312","Arizona State",31,40.6,65.4,25,60.4,0.414,6.9,22.5,0.307,8.5,12.8,0.661,9,25.6,34.7,13.4,6.7,4.2,11.9,18.1,0.492,0.471,138.2,24.6,70.5,47.5,53.4,15.2,9.6,12.4,1.1,46.1,94,96.7,-2.6,2155.5,68.5,1.534,1.1,0.6,0.14,14,17,0.452,"Pac-12","AZ",-0.758306565798607,3
"313","Western Michigan",31,40.4,65.4,23.5,56,0.421,8.5,25.4,0.332,9.8,14.1,0.7,8.6,23.1,31.7,10.3,5.3,2.3,13.7,16.8,0.522,0.496,145.3,25.9,69.6,47.8,43.7,17.9,7.8,6.5,1.2,39.4,96.2,110.6,-14.3,2106.1,67.2,1.437,0.8,0.4,0.176,8,23,0.258,"MAC","MI",-1.41261784696492,1
"314","Grambling State",32,40,65.4,23.4,57.6,0.407,5.1,16.2,0.315,13.5,19,0.71,10.1,24.8,34.9,10.9,6.6,3.3,14.2,18.3,0.491,0.451,143.2,27.9,69.5,48.5,46.7,17.6,9.3,9.1,1.1,41.3,92.1,100.1,-8,2270.4,71,1.467,0.8,0.5,0.234,12,20,0.375,"SWAC","LA",-1.19253132511807,1
"315","Holy Cross",31,40,65.2,23.9,57.8,0.414,5.8,17,0.343,11.5,16.3,0.708,9.6,23.2,32.7,10.2,5.9,3.8,12.5,16.9,0.497,0.464,146.6,27.5,72.5,49,42.5,16,8.7,9.9,1.1,41.7,95.5,103.5,-8,2116.9,68.3,1.425,0.8,0.5,0.199,9,22,0.29,"Patriot","MA",-1.23416931573774,1
"316","Duquesne",30,40.6,65.2,24.7,61.4,0.403,6.2,20.5,0.305,9.5,13.4,0.707,10.9,22.3,33.1,10,6.6,4.4,11.5,13.9,0.481,0.454,141.5,28.8,68.7,47.3,40.4,14.5,9.7,10.8,1.1,43.6,95.3,107.3,-12,2051.6,67.3,1.404,0.9,0.6,0.155,6,24,0.2,"A-10","PA",-1.46020412195883,1
"317","UNC Greensboro",32,40.4,65.1,23.4,54.4,0.431,7.3,21.4,0.342,10.9,15.1,0.721,10.4,24,34.3,12.1,6.4,1.6,13,15.3,0.528,0.498,149.4,32.7,75.8,54.2,51.5,17.4,9.9,5.8,1.2,45.9,101.1,100.9,0.2,2059.7,63.7,1.515,0.9,0.5,0.2,17,15,0.531,"SoCon","NC",0.35402261218412,3
"318","North Texas",32,40.2,65.1,22.6,51.1,0.442,7.7,21.6,0.357,12.3,18.8,0.651,10,23.2,33.2,11,6.6,2.8,11.4,15.8,0.542,0.517,145,32.1,75.8,53.7,48.9,15.9,10.6,8,1.3,47.9,105.8,90.6,15.2,1968.4,61.2,1.489,1,0.6,0.24,25,7,0.781,"C-USA","TX",1.50204149641228,4
"319","Florida A&M",30,40.6,65.1,24.4,57,0.428,4.6,15.1,0.302,11.6,16.5,0.705,8.7,23.2,31.9,12,6.3,3.1,12.5,17.7,0.502,0.468,143.6,26.4,67.1,47.2,49.1,16.2,9.2,8.5,1.1,41.6,95.4,100.8,-5.5,2046.8,67.3,1.491,1,0.5,0.204,13,17,0.433,"SWAC","FL",-1.16278990324688,1
"320","Navy",32,40.3,65,24.1,56,0.43,5.8,17.7,0.326,11.1,16.9,0.655,11,24.6,35.6,12.3,7.1,3.3,12.9,16,0.507,0.481,141,33,76.4,54.4,50.9,16.7,10.7,10.4,1.2,47.5,98.6,91.3,7.4,2107.7,65.4,1.509,1,0.5,0.198,21,11,0.656,"Patriot","MD",0.3361777590614,3
"321","Cal State Bakersfield",28,40,64.9,24.4,57.6,0.423,3.8,13.3,0.288,12.3,17.5,0.706,11.2,22.1,33.3,10,6.2,2.4,11.7,20.6,0.492,0.456,141.6,32.7,74.8,52.2,40.9,15.1,9.4,8.4,1.1,39.4,98.1,100.3,-2.2,1850.9,66.1,1.409,0.9,0.5,0.214,9,19,0.321,"Big West","CA",-0.520375190829042,3
"322","Hampton",28,40.3,64.8,22.4,56.1,0.399,5.8,19.6,0.293,14.2,20.3,0.7,8.1,25.5,33.6,10.4,5.2,4,12.5,18.4,0.493,0.451,139.3,22.8,69.1,46.4,46.5,16,7.4,10.3,1.2,39.9,92.3,99.1,-6.7,1964.6,69.6,1.465,0.8,0.4,0.253,9,19,0.321,"Big South","VA",-1.31149701260286,1
"323","Milwaukee",32,40,64.8,23.8,56.4,0.422,6.2,19.6,0.317,10.9,15.3,0.717,8.5,26.5,35,11.4,4.9,3.7,13.2,16.9,0.509,0.477,145.6,25.4,71.2,49.5,48,17.2,7.1,10.4,1.1,43.6,94.5,103.2,-8.7,2194.4,68.6,1.48,0.9,0.4,0.194,10,22,0.313,"Horizon","WI",-0.907013675154588,1
"324","Austin Peay",29,40.4,64.7,23.1,56.5,0.408,7.9,25,0.315,10.6,15,0.706,10.2,21.6,31.8,13.5,6.4,2,13.9,16.7,0.508,0.478,143,29.4,70.7,48.7,58.6,18,9.5,6.1,1.1,42.3,95.9,102.5,-6.6,1954.6,66.7,1.586,1,0.5,0.188,12,17,0.414,"OVC","TN",-1.31149701260285,1
"325","Penn State",31,40.5,64.6,23.9,55.2,0.432,8,23.5,0.342,8.8,12,0.735,8.8,25.6,34.5,11.9,5.3,2.2,11.8,15.4,0.53,0.505,150.8,28.3,76.8,53.4,49.7,16.2,8.2,6.2,1.2,46,100.9,101.5,-0.6,1985.1,63.3,1.497,1,0.4,0.16,14,17,0.452,"Big Ten","PA",0.235056924699331,2
